model_name,model_key,image_id,image_path,grounding_prompt,source_command,parsed_action,parsed_target_object,parsed_location_hint,model_grounding_prompt,original_grounding_prompt,target_object,target_type,gt_x_min,gt_y_min,gt_x_max,gt_y_max,ground_truth_source,pred_x_min,pred_y_min,pred_x_max,pred_y_max,confidence,matched_phrase,status,has_valid_prediction_box,iou,target_correct,bbox_quality,notes
GPT vision interpretation,gpt_vision,vid_res_023_package_infront_of_the_books_frame_03,examples/residence_images/vid_res_023_package_infront_of_the_books_frame_03.jpg,package infront of books,find package infront of the books,find,package,infront of books,package infront of books,package infront of the books,package,object,231.0,484.0,722.0,833.0,ground_truth_boxes.csv,210.0,620.0,560.0,860.0,0.78,package infront of books,success,True,0.37821806759426174,True,success,Foreground shipping box with orange/white labels directly in front of the open box of books.
GPT vision interpretation,gpt_vision,vid_res_024_package_between_books_and_shoes_frame_01,examples/residence_images/vid_res_024_package_between_books_and_shoes_frame_01.jpg,package between books,find package between books and shoes,find,package,between books and shoes,package between books,package between books and shoes,package,object,948.0,416.0,1225.0,709.0,ground_truth_boxes.csv,1125.0,500.0,1415.0,825.0,0.8,package between books and shoes,success,True,0.13526545035628532,False,weak_overlap,Brown Amazon box with orange tape positioned to the right of the box of books and left of the black boots.
GPT vision interpretation,gpt_vision,vid_res_024_package_between_books_and_shoes_frame_02,examples/residence_images/vid_res_024_package_between_books_and_shoes_frame_02.jpg,package between books,find package between books and shoes,find,package,between books and shoes,package between books,package between books and shoes,package,object,942.0,416.0,1267.0,733.0,ground_truth_boxes.csv,1000.0,520.0,1230.0,770.0,0.78,package between books and shoes,success,True,0.4392343210651365,True,success,Closed Amazon box with orange tape located between the book box and the row of boots/shoes.
GPT vision interpretation,gpt_vision,vid_res_024_package_between_books_and_shoes_frame_03,examples/residence_images/vid_res_024_package_between_books_and_shoes_frame_03.jpg,package between books,find package between books and shoes,find,package,between books and shoes,package between books,package between books and shoes,package,object,956.0,414.0,1255.0,729.0,ground_truth_boxes.csv,1110.0,500.0,1365.0,830.0,0.82,package between books and shoes,success,True,0.2287948735616344,False,weak_overlap,Amazon-labeled box located between the box of books and the shoes on the right.
GPT vision interpretation,gpt_vision,vid_res_025_package_by_elevator_frame_01,examples/residence_images/vid_res_025_package_by_elevator_frame_01.jpg,package by elevator,find package by elevator,find,package,by elevator,package by elevator,package by elevator,package,object,454.0,508.0,585.0,626.0,ground_truth_boxes.csv,410.0,640.0,560.0,780.0,0.78,package by elevator,success,True,0.0,False,poor,Small box with orange tape on the carpet next to the left elevator doors.
GPT vision interpretation,gpt_vision,vid_res_025_package_by_elevator_frame_02,examples/residence_images/vid_res_025_package_by_elevator_frame_02.jpg,package by elevator,find package by elevator,find,package,by elevator,package by elevator,package by elevator,package,object,544.0,599.0,659.0,716.0,ground_truth_boxes.csv,530.0,620.0,690.0,780.0,0.86,package by elevator,success,True,0.39407460289130825,True,success,Box on the floor next to the elevator doorway on the left.
GPT vision interpretation,gpt_vision,vid_res_025_package_by_elevator_frame_03,examples/residence_images/vid_res_025_package_by_elevator_frame_03.jpg,package by elevator,find package by elevator,find,package,by elevator,package by elevator,package by elevator,package,object,541.0,590.0,649.0,710.0,ground_truth_boxes.csv,560.0,625.0,720.0,760.0,0.78,package by elevator,success,True,0.280237080940915,True,success,Small cardboard box on the mat directly in front of the left elevator doors.
GPT vision interpretation,gpt_vision,vid_res_026_package_by_wall_frame_01,examples/residence_images/vid_res_026_package_by_wall_frame_01.jpg,package by wall,find package by wall opposite elevator,find,package,by wall opposite elevator,package by wall,package by wall opposite elevator,package,object,1264.0,504.0,1449.0,634.0,ground_truth_boxes.csv,1360.0,520.0,1700.0,820.0,0.86,package by wall opposite elevator,success,True,0.08753796245168416,False,poor,Bounding box covers the packages along the right wall across from the elevator.
GPT vision interpretation,gpt_vision,vid_res_026_package_by_wall_frame_02,examples/residence_images/vid_res_026_package_by_wall_frame_02.jpg,package by wall,find package by wall opposite elevator,find,package,by wall opposite elevator,package by wall,package by wall opposite elevator,package,object,1293.0,605.0,1472.0,738.0,ground_truth_boxes.csv,1320.0,700.0,1620.0,980.0,0.78,package by wall opposite elevator,success,True,0.05661024590565612,False,poor,Packages leaning against the right wall across from the elevator.
GPT vision interpretation,gpt_vision,vid_res_026_package_by_wall_frame_03,examples/residence_images/vid_res_026_package_by_wall_frame_03.jpg,package by wall,find package by wall opposite elevator,find,package,by wall opposite elevator,package by wall,package by wall opposite elevator,package,object,1278.0,606.0,1447.0,729.0,ground_truth_boxes.csv,1350.0,620.0,1580.0,870.0,0.84,package by wall opposite elevator,success,True,0.1561420090380128,False,weak_overlap,Packages leaning against the right-hand wall across from the elevator doors.
GPT vision interpretation,gpt_vision,vid_res_027_package_on_table_frame_01,examples/residence_images/vid_res_027_package_on_table_frame_01.jpg,table packages on,find packages on table,find,table,packages on,table packages on,packages on table,table,object,805.0,290.0,1169.0,435.0,ground_truth_boxes.csv,780.0,400.0,1290.0,560.0,0.78,packages on table,success,True,0.10473528444590595,False,weak_overlap,Two cardboard packages sitting on the coffee table surface near the center-left.
GPT vision interpretation,gpt_vision,vid_res_027_package_on_table_frame_02,examples/residence_images/vid_res_027_package_on_table_frame_02.jpg,table packages on,find packages on table,find,table,packages on,table packages on,packages on table,table,object,710.0,322.0,1064.0,483.0,ground_truth_boxes.csv,700.0,430.0,1260.0,620.0,0.84,packages on table,success,True,0.12972232977487694,False,weak_overlap,Bounding box covers the two cardboard packages sitting on the center coffee table.
GPT vision interpretation,gpt_vision,vid_res_027_package_on_table_frame_03,examples/residence_images/vid_res_027_package_on_table_frame_03.jpg,table packages on,find packages on table,find,table,packages on,table packages on,packages on table,table,object,689.0,324.0,1071.0,475.0,ground_truth_boxes.csv,620.0,420.0,1310.0,610.0,0.84,packages on table,success,True,0.12522947810123264,False,weak_overlap,Bounding box includes the two cardboard packages sitting on the coffee table surface; excludes the package on the floor.
GPT vision interpretation,gpt_vision,vid_res_028_package_by_door_right_frame_01,examples/residence_images/vid_res_028_package_by_door_right_frame_01.jpg,package by door,find package by door right,find,package,by door right,package by door,package by door right,package,object,615.0,751.0,818.0,891.0,ground_truth_boxes.csv,690.0,790.0,860.0,930.0,0.82,package by door right,success,True,0.32902371984118906,True,success,Box on the floor immediately to the right of the orange door.
GPT vision interpretation,gpt_vision,vid_res_028_package_by_door_right_frame_02,examples/residence_images/vid_res_028_package_by_door_right_frame_02.jpg,package by door,find package by door right,find,package,by door right,package by door,package by door right,package,object,633.0,776.0,813.0,911.0,ground_truth_boxes.csv,760.0,855.0,930.0,980.0,0.8,package by door right,success,True,0.06970081254990372,False,poor,Cardboard box on the floor immediately to the right of the orange door.
GPT vision interpretation,gpt_vision,vid_res_028_package_by_door_right_frame_03,examples/residence_images/vid_res_028_package_by_door_right_frame_03.jpg,package by door,find package by door right,find,package,by door right,package by door,package by door right,package,object,619.0,765.0,810.0,898.0,ground_truth_boxes.csv,750.0,820.0,980.0,910.0,0.78,package by door right,success,True,0.1129807111990923,False,weak_overlap,Rectangular box on the floor immediately to the right of the orange door.
GPT vision interpretation,gpt_vision,vid_res_029_package_by_door_left_frame_01,examples/residence_images/vid_res_029_package_by_door_left_frame_01.jpg,package by door,find package by door left,find,package,by door left,package by door,package by door left,package,object,794.0,624.0,946.0,754.0,ground_truth_boxes.csv,740.0,640.0,950.0,805.0,0.79,package by door left,success,True,0.46728871150423384,True,success,Chosen is the box immediately left of the main door; other packages are farther down the left wall.
GPT vision interpretation,gpt_vision,vid_res_029_package_by_door_left_frame_02,examples/residence_images/vid_res_029_package_by_door_left_frame_02.jpg,package by door,find package by door left,find,package,by door left,package by door,package by door left,package,object,772.0,641.0,912.0,754.0,ground_truth_boxes.csv,770.0,620.0,950.0,740.0,0.78,package by door left,success,True,0.5882852292020373,True,strict_success,Selected the package on the floor immediately to the left of the central door; other packages are farther down the hallway.
GPT vision interpretation,gpt_vision,vid_res_029_package_by_door_left_frame_03,examples/residence_images/vid_res_029_package_by_door_left_frame_03.jpg,package by door,find package by door left,find,package,by door left,package by door,package by door left,package,object,805.0,598.0,953.0,720.0,ground_truth_boxes.csv,760.0,570.0,940.0,660.0,0.74,package by door left,success,True,0.3233408019779031,True,success,Box immediately to the left of the central door on the floor.
GPT vision interpretation,gpt_vision,vid_res_030_second_closest_package_frame_01,examples/residence_images/vid_res_030_second_closest_package_frame_01.jpg,package second closest,find second closest package,find,package,second closest,package second closest,second closest package,package,object,717.0,755.0,879.0,885.0,ground_truth_boxes.csv,760.0,690.0,940.0,830.0,0.64,second closest package,success,True,0.23905182804339092,False,weak_overlap,Three packages are visible along the left side of the hallway; this box is the middle one in distance from the camera.
GPT vision interpretation,gpt_vision,vid_res_030_second_closest_package_frame_02,examples/residence_images/vid_res_030_second_closest_package_frame_02.jpg,package second closest,find second closest package,find,package,second closest,package second closest,second closest package,package,object,701.0,747.0,854.0,861.0,ground_truth_boxes.csv,620.0,830.0,800.0,950.0,0.63,second closest package,success,True,0.08531398548911684,False,poor,Assumed closeness from the camera (bottom of image). Selected the middle of the three packages along the left side of the hallway.
GPT vision interpretation,gpt_vision,vid_res_030_second_closest_package_frame_03,examples/residence_images/vid_res_030_second_closest_package_frame_03.jpg,package second closest,find second closest package,find,package,second closest,package second closest,second closest package,package,object,730.0,720.0,888.0,839.0,ground_truth_boxes.csv,720.0,690.0,900.0,880.0,0.62,second closest package,success,True,0.549766081871345,True,strict_success,Package slightly behind the nearest one on the left side of the hallway.
GPT vision interpretation,gpt_vision,vid_res_031_package_in_front_frame_01,examples/residence_images/vid_res_031_package_in_front_frame_01.jpg,package in front,find package in front,find,package,in front,package in front,package in front,package,object,679.0,816.0,861.0,952.0,ground_truth_boxes.csv,610.0,830.0,825.0,980.0,0.74,package in front,success,True,0.45450369992344986,True,success,Closest package to the camera on the left side of the hallway floor.
GPT vision interpretation,gpt_vision,vid_res_031_package_in_front_frame_02,examples/residence_images/vid_res_031_package_in_front_frame_02.jpg,package in front,find package in front,find,package,in front,package in front,package in front,package,object,668.0,808.0,833.0,912.0,ground_truth_boxes.csv,520.0,770.0,840.0,960.0,0.84,package in front,success,True,0.2822368421052632,True,success,Closest package on the floor in the foreground left.
GPT vision interpretation,gpt_vision,vid_res_031_package_in_front_frame_03,examples/residence_images/vid_res_031_package_in_front_frame_03.jpg,package in front,find package in front,find,package,in front,package in front,package in front,package,object,700.0,783.0,871.0,897.0,ground_truth_boxes.csv,840.0,520.0,1030.0,650.0,0.78,package in front,success,True,0.0,False,poor,Cardboard box directly in front of the door at the end of the hallway.
GPT vision interpretation,gpt_vision,vid_res_032_packages_by_chair_frame_01,examples/residence_images/vid_res_032_packages_by_chair_frame_01.jpg,chair packages by,find packages by chair,find,chair,packages by,chair packages by,packages by chair,chair,object,949.0,665.0,1121.0,830.0,ground_truth_boxes.csv,920.0,610.0,1210.0,900.0,0.86,packages by chair,success,True,0.3374554102259215,True,success,Bounding box around the two cardboard packages on the floor next to the left stool.
GPT vision interpretation,gpt_vision,vid_res_032_packages_by_chair_frame_02,examples/residence_images/vid_res_032_packages_by_chair_frame_02.jpg,chair packages by,find packages by chair,find,chair,packages by,chair packages by,packages by chair,chair,object,948.0,697.0,1125.0,849.0,ground_truth_boxes.csv,950.0,700.0,1210.0,900.0,0.77,packages by chair,success,True,0.49357360540612166,True,success,Two small packages on the floor next to the left barstool.
GPT vision interpretation,gpt_vision,vid_res_032_packages_by_chair_frame_03,examples/residence_images/vid_res_032_packages_by_chair_frame_03.jpg,chair packages by,find packages by chair,find,chair,packages by,chair packages by,packages by chair,chair,object,969.0,671.0,1111.0,832.0,ground_truth_boxes.csv,930.0,720.0,1090.0,870.0,0.77,packages by chair,success,True,0.40684479135394774,True,success,Bounding box around the two cardboard packages on the floor next to the left stool.
GPT vision interpretation,gpt_vision,vid_res_033_man_in_blue_frame_01,examples/residence_images/vid_res_033_man_in_blue_frame_01.jpg,person man in blue,find man in blue,find,person,man in blue,person man in blue,man in blue,person,person,1096.0,249.0,1297.0,973.0,ground_truth_boxes.csv,1110.0,240.0,1265.0,1005.0,0.82,man in blue,success,True,0.738877659189223,True,strict_success,"Man in bright blue suit standing near center-right, facing right."
GPT vision interpretation,gpt_vision,vid_res_033_man_in_blue_frame_02,examples/residence_images/vid_res_033_man_in_blue_frame_02.jpg,person man in blue,find man in blue,find,person,man in blue,person man in blue,man in blue,person,person,1153.0,258.0,1344.0,977.0,ground_truth_boxes.csv,1180.0,260.0,1360.0,1020.0,0.87,man in blue,success,True,0.7511642317348171,True,strict_success,Foreground right-center person wearing a bright blue suit.
GPT vision interpretation,gpt_vision,vid_res_033_man_in_blue_frame_03,examples/residence_images/vid_res_033_man_in_blue_frame_03.jpg,person man in blue,find man in blue,find,person,man in blue,person man in blue,man in blue,person,person,1326.0,266.0,1539.0,1017.0,ground_truth_boxes.csv,1380.0,250.0,1560.0,1060.0,0.86,man in blue,success,True,0.6407643517176985,True,strict_success,Foreground man wearing a bright blue suit on the right side.
GPT vision interpretation,gpt_vision,vid_res_034_man_in_grey_frame_01,examples/residence_images/vid_res_034_man_in_grey_frame_01.jpg,person man in grey,find man in grey,find,person,man in grey,person man in grey,man in grey,person,person,878.0,204.0,1183.0,1047.0,ground_truth_boxes.csv,860.0,230.0,1050.0,980.0,0.82,man in grey,success,True,0.47669197938030045,True,success,"Rear-facing man in a light grey suit near the center of the image, standing next to a man in a blue suit."
GPT vision interpretation,gpt_vision,vid_res_034_man_in_grey_frame_02,examples/residence_images/vid_res_034_man_in_grey_frame_02.jpg,person man in grey,find man in grey,find,person,man in grey,person man in grey,man in grey,person,person,987.0,238.0,1279.0,1068.0,ground_truth_boxes.csv,920.0,240.0,1185.0,1020.0,0.82,man in grey,success,True,0.5242006652637295,True,strict_success,Foreground center-right man in a light grey suit facing away.
GPT vision interpretation,gpt_vision,vid_res_034_man_in_grey_frame_03,examples/residence_images/vid_res_034_man_in_grey_frame_03.jpg,person man in grey,find man in grey,find,person,man in grey,person man in grey,man in grey,person,person,1110.0,221.0,1411.0,1073.0,ground_truth_boxes.csv,980.0,170.0,1310.0,1075.0,0.78,man in grey,success,True,0.4429402498557325,True,success,"Foreground man in a light gray suit near center-right, facing away."
GPT vision interpretation,gpt_vision,vid_res_035_woman_white_top_frame_01,examples/residence_images/vid_res_035_woman_white_top_frame_01.jpg,person woman white top,find woman white top,find,person,woman white top,person woman white top,woman white top,person,person,29.0,274.0,221.0,887.0,ground_truth_boxes.csv,70.0,250.0,260.0,860.0,0.79,woman white top,success,True,0.6097856798290952,True,strict_success,Foreground left woman wearing a white jacket/top and blue jeans.
GPT vision interpretation,gpt_vision,vid_res_035_woman_white_top_frame_02,examples/residence_images/vid_res_035_woman_white_top_frame_02.jpg,person woman white top,find woman white top,find,person,woman white top,person woman white top,woman white top,person,person,154.0,290.0,347.0,884.0,ground_truth_boxes.csv,260.0,280.0,420.0,950.0,0.72,woman white top,success,True,0.3036952586916151,True,success,"Woman wearing a white blazer near the left side of the image, back view."
GPT vision interpretation,gpt_vision,vid_res_035_woman_white_top_frame_03,examples/residence_images/vid_res_035_woman_white_top_frame_03.jpg,person woman white top,find woman white top,find,person,woman white top,person woman white top,woman white top,person,person,302.0,312.0,473.0,874.0,ground_truth_boxes.csv,520.0,340.0,740.0,1020.0,0.7,woman white top,success,True,0.0,False,poor,"Woman wearing a white blazer/top with blue skirt, left-of-center facing away."
GPT vision interpretation,gpt_vision,vid_res_036_elevator_button_panel_frame_01,examples/residence_images/vid_res_036_elevator_button_panel_frame_01.jpg,elevator button panel,find elevator button panel,find,elevator button panel,,elevator button panel,elevator button panel,elevator button panel,object,824.0,162.0,1253.0,1063.0,ground_truth_boxes.csv,720.0,50.0,1200.0,1030.0,0.96,elevator button panel,success,True,0.6151375619391549,True,strict_success,Central vertical panel with multiple floor and control buttons.
GPT vision interpretation,gpt_vision,vid_res_036_elevator_button_panel_frame_02,examples/residence_images/vid_res_036_elevator_button_panel_frame_02.jpg,elevator button panel,find elevator button panel,find,elevator button panel,,elevator button panel,elevator button panel,elevator button panel,object,842.0,286.0,1098.0,902.0,ground_truth_boxes.csv,900.0,220.0,1140.0,930.0,0.86,elevator button panel,success,True,0.591710005433517,True,strict_success,Vertical column of control buttons on the central metal panel.
GPT vision interpretation,gpt_vision,vid_res_036_elevator_button_panel_frame_03,examples/residence_images/vid_res_036_elevator_button_panel_frame_03.jpg,elevator button panel,find elevator button panel,find,elevator button panel,,elevator button panel,elevator button panel,elevator button panel,object,1026.0,236.0,1293.0,933.0,ground_truth_boxes.csv,1070.0,120.0,1280.0,1020.0,0.88,elevator button panel,success,True,0.6399275999108115,True,strict_success,Vertical column of floor and control buttons on the middle-right metal wall.
